project_name,tax_id,commodity,location,region,concession_size,production_vol,year,lat,long
AngloGold Ashanti(Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,387093.0,2006,6.1973888,-1.6870297
AngloGold Ashanti(Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,359962.0,2007,6.1973888,-1.6870297
AngloGold Ashanti(Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,258709.0,2008,6.1973888,-1.6870297
AngloGold Ashanti(Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,381720.0,2009,6.1973888,-1.6870297
AngloGold Ashanti(Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,380490.0,2010,6.1973888,-1.6870297
AngloGold Ashanti(Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,312595.0,2011,6.1973888,-1.6870297
AngloGold Ashanti(Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,312595.0,2012,6.1973888,-1.6870297
AngloGold Ashanti(Ghana) Ltd,721G000012,Gold,Obuasi,Ashanti ,568.24,239032.0,2013,6.1973888,-1.6870297
AngloGold(Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,183534.0,2006,5.2526101,-2.0490137
AngloGold(Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,185505.0,2007,5.2526101,-2.0490137
AngloGold(Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,157702.0,2008,5.2526101,-2.0490137
AngloGold(Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,192536.0,2009,5.2526101,-2.0490137
AngloGold(Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,190442.0,2010,5.2526101,-2.0490137
AngloGold(Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,195650.0,2011,5.2526101,-2.0490137
AngloGold(Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,195650.0,2012,5.2526101,-2.0490137
AngloGold(Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,212465.27,2013,5.2526101,-2.0490137
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,2006,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,2007,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,2008,4.95613,-1.74714
Adamus Resources Ltd,524G000234,Gold,Nkroful,Western ,75.7,,2009,4.95613,-1.74714
